SNT,RT,MNA,Xpand,Maxscale,Xgress,Parameter,Default value(SNT),Default value(RT),Default value(MNA),Default value(Xpand),Default values(Xgress),Tag(s),Possible Values,Variable type,Requires restart,Read Only,Server/Maxscale,Multiselect,Minimum Value,Maximum Value,Documentation Link,Comments,Active,Config Section
Yes,Yes,Yes,Yes,,Yes,simple_password_check_other_characters,1,1,1,1,1,Security,"0,1,2,5,10",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/simple_password_check_other_characters/,,,
No,Yes,No,,,,slave_compressed_protocol,OFF,OFF,OFF,,,Replication,"ON, OFF",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/slave_compressed_protocol/,,,
No,Yes,No,,,,slave_parallel_mode,optimistic,optimistic,optimistic,,,Replication,"none, minimal, conservative, optimistic, aggressive",enumerated,No,,,,,,https://r.mariadb.com/skysql-system-variables/slave_parallel_mode/,,,
No,Yes,No,,,,slave_parallel_workers,0,0,0,,,Replication,"0,2,4,8,16,32,64,128,256",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/slave_parallel_workers/,,,
,Yes,,,Yes,,slave_selection_criteria,,LEAST_CURRENT_OPERATIONS,,,,Routers,"LEAST_GLOBAL_CONNECTIONS, LEAST_ROUTER_CONNECTIONS,  LEAST_BEHIND_MASTER, LEAST_CURRENT_OPERATIONS, ADAPTIVE_ROUTING",enum,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/slave_selection_criteria/,,,ReadWriteSplit
Yes,Yes,Yes,,,,slow_query_log,OFF,OFF,OFF,,,General,"ON, OFF",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/slow_query_log/,,,
Yes,Yes,Yes,,,,sort_buffer_size,2097152,2097152,2097152,,,General,,bigint unsigned,No,,,,1024,18446744073709551615,https://r.mariadb.com/skysql-system-variables/sort_buffer_size/,,,
Yes,Yes,No,,,,sql_mode,"4 selected","4 selected","4 selected",,,General,"STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION,DB2,MSSQL,ORACLE,POSTGRESQL",string,No,,,Yes,,,https://r.mariadb.com/skysql-system-variables/sql_mode/,,,
,Yes,,,Yes,,strict_multi_stmt,,false,,,,Routers,"true, false",boolean,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/strict_multi_stmt/,,,ReadWriteSplit
Yes,Yes,Yes,Yes,,Yes,strict_password_validation,ON,ON,ON,ON,ON,Security,"OFF, ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/strict_password_validation/,,,
,Yes,,,Yes,,strict_sp_calls,,false,,,,Routers,"true, false",boolean,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/strict_sp_calls/,,,ReadWriteSplit
No,Yes,No,,,,sync_master_info,1,1,1,,,"Replication, Data Integrity","0,1,10,100,1000,10000,100000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/sync_master_info/,,,
No,Yes,No,,,,sync_relay_log,0,0,0,,,"Replication, Data Integrity","0,1,10,100,1000,10000,100000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/sync_relay_log/,,,
No,Yes,No,,,,sync_relay_log_info,0,0,0,,,"Replication, Data Integrity","0,1,10,100,1000,10000,100000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/sync_relay_log_info/,,,
,,,Yes,,Yes,system_time_zone,,,,UTC,UTC,Timezone,"Africa/Abidjan,Africa/Accra,Africa/Addis_Ababa,Africa/Algiers,Africa/Asmara,Africa/Asmera,Africa/Bamako,Africa/Bangui,Africa/Banjul,Africa/Bissau,Africa/Blantyre,Africa/Brazzaville,Africa/Bujumbura,Africa/Cairo,Africa/Casablanca,Africa/Ceuta,Africa/Conakry,Africa/Dakar,Africa/Dar_es_Salaam,Africa/Djibouti,Africa/Douala,Africa/El_Aaiun,Africa/Freetown,Africa/Gaborone,Africa/Harare,Africa/Johannesburg,Africa/Juba,Africa/Kampala,Africa/Khartoum,Africa/Kigali,Africa/Kinshasa,Africa/Lagos,Africa/Libreville,Africa/Lome,Africa/Luanda,Africa/Lubumbashi,Africa/Lusaka,Africa/Malabo,Africa/Maputo,Africa/Maseru,Africa/Mbabane,Africa/Mogadishu,Africa/Monrovia,Africa/Nairobi,Africa/Ndjamena,Africa/Niamey,Africa/Nouakchott,Africa/Ouagadougou,Africa/Porto-Novo,Africa/Sao_Tome,Africa/Timbuktu,Africa/Tripoli,Africa/Tunis,Africa/Windhoek,America/Adak,America/Anchorage,America/Anguilla,America/Antigua,America/Araguaina,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,America/Argentina/ComodRivadavia,America/Argentina/Cordoba,America/Argentina/Jujuy,America/Argentina/La_Rioja,America/Argentina/Mendoza,America/Argentina/Rio_Gallegos,America/Argentina/Salta,America/Argentina/San_Juan,America/Argentina/San_Luis,America/Argentina/Tucuman,America/Argentina/Ushuaia,America/Aruba,America/Asuncion,America/Atikokan,America/Atka,America/Bahia,America/Bahia_Banderas,America/Barbados,America/Belem,America/Belize,America/Blanc-Sablon,America/Boa_Vista,America/Bogota,America/Boise,America/Buenos_Aires,America/Cambridge_Bay,America/Campo_Grande,America/Cancun,America/Caracas,America/Catamarca,America/Cayenne,America/Cayman,America/Chicago,America/Chihuahua,America/Coral_Harbour,America/Cordoba,America/Costa_Rica,America/Creston,America/Cuiaba,America/Curacao,America/Danmarkshavn,America/Dawson,America/Dawson_Creek,America/Denver,America/Detroit,America/Dominica,America/Edmonton,America/Eirunepe,America/El_Salvador,America/Ensenada,America/Fort_Nelson,America/Fort_Wayne,America/Fortaleza,America/Glace_Bay,America/Godthab,America/Goose_Bay,America/Grand_Turk,America/Grenada,America/Guadeloupe,America/Guatemala,America/Guayaquil,America/Guyana,America/Halifax,America/Havana,America/Hermosillo,America/Indiana/Indianapolis,America/Indiana/Knox,America/Indiana/Marengo,America/Indiana/Petersburg,America/Indiana/Tell_City,America/Indiana/Vevay,America/Indiana/Vincennes,America/Indiana/Winamac,America/Indianapolis,America/Inuvik,America/Iqaluit,America/Jamaica,America/Jujuy,America/Juneau,America/Kentucky/Louisville,America/Kentucky/Monticello,America/Knox_IN,America/Kralendijk,America/La_Paz,America/Lima,America/Los_Angeles,America/Louisville,America/Lower_Princes,America/Maceio,America/Managua,America/Manaus,America/Marigot,America/Martinique,America/Matamoros,America/Mazatlan,America/Mendoza,America/Menominee,America/Merida,America/Metlakatla,America/Mexico_City,America/Miquelon,America/Moncton,America/Monterrey,America/Montevideo,America/Montreal,America/Montserrat,America/Nassau,America/New_York,America/Nipigon,America/Nome,America/Noronha,America/North_Dakota/Beulah,America/North_Dakota/Center,America/North_Dakota/New_Salem,America/Nuuk,America/Ojinaga,America/Panama,America/Pangnirtung,America/Paramaribo,America/Phoenix,America/Port-au-Prince,America/Port_of_Spain,America/Porto_Acre,America/Porto_Velho,America/Puerto_Rico,America/Punta_Arenas,America/Rainy_River,America/Rankin_Inlet,America/Recife,America/Regina,America/Resolute,America/Rio_Branco,America/Rosario,America/Santa_Isabel,America/Santarem,America/Santiago,America/Santo_Domingo,America/Sao_Paulo,America/Scoresbysund,America/Shiprock,America/Sitka,America/St_Barthelemy,America/St_Johns,America/St_Kitts,America/St_Lucia,America/St_Thomas,America/St_Vincent,America/Swift_Current,America/Tegucigalpa,America/Thule,America/Thunder_Bay,America/Tijuana,America/Toronto,America/Tortola,America/Vancouver,America/Virgin,America/Whitehorse,America/Winnipeg,America/Yakutat,America/Yellowknife,Antarctica/Casey,Antarctica/Davis,Antarctica/DumontDUrville,Antarctica/Macquarie,Antarctica/Mawson,Antarctica/McMurdo,Antarctica/Palmer,Antarctica/Rothera,Antarctica/South_Pole,Antarctica/Syowa,Antarctica/Troll,Antarctica/Vostok,Arctic/Longyearbyen,Asia/Aden,Asia/Almaty,Asia/Amman,Asia/Anadyr,Asia/Aqtau,Asia/Aqtobe,Asia/Ashgabat,Asia/Ashkhabad,Asia/Atyrau,Asia/Baghdad,Asia/Bahrain,Asia/Baku,Asia/Bangkok,Asia/Barnaul,Asia/Beirut,Asia/Bishkek,Asia/Brunei,Asia/Calcutta,Asia/Chita,Asia/Choibalsan,Asia/Chongqing,Asia/Chungking,Asia/Colombo,Asia/Dacca,Asia/Damascus,Asia/Dhaka,Asia/Dili,Asia/Dubai,Asia/Dushanbe,Asia/Famagusta,Asia/Gaza,Asia/Harbin,Asia/Hebron,Asia/Ho_Chi_Minh,Asia/Hong_Kong,Asia/Hovd,Asia/Irkutsk,Asia/Istanbul,Asia/Jakarta,Asia/Jayapura,Asia/Jerusalem,Asia/Kabul,Asia/Kamchatka,Asia/Karachi,Asia/Kashgar,Asia/Kathmandu,Asia/Katmandu,Asia/Khandyga,Asia/Kolkata,Asia/Krasnoyarsk,Asia/Kuala_Lumpur,Asia/Kuching,Asia/Kuwait,Asia/Macao,Asia/Macau,Asia/Magadan,Asia/Makassar,Asia/Manila,Asia/Muscat,Asia/Nicosia,Asia/Novokuznetsk,Asia/Novosibirsk,Asia/Omsk,Asia/Oral,Asia/Phnom_Penh,Asia/Pontianak,Asia/Pyongyang,Asia/Qatar,Asia/Qostanay,Asia/Qyzylorda,Asia/Rangoon,Asia/Riyadh,Asia/Saigon,Asia/Sakhalin,Asia/Samarkand,Asia/Seoul,Asia/Shanghai,Asia/Singapore,Asia/Srednekolymsk,Asia/Taipei,Asia/Tashkent,Asia/Tbilisi,Asia/Tehran,Asia/Tel_Aviv,Asia/Thimbu,Asia/Thimphu,Asia/Tokyo,Asia/Tomsk,Asia/Ujung_Pandang,Asia/Ulaanbaatar,Asia/Ulan_Bator,Asia/Urumqi,Asia/Ust-Nera,Asia/Vientiane,Asia/Vladivostok,Asia/Yakutsk,Asia/Yangon,Asia/Yekaterinburg,Asia/Yerevan,Atlantic/Azores,Atlantic/Bermuda,Atlantic/Canary,Atlantic/Cape_Verde,Atlantic/Faeroe,Atlantic/Faroe,Atlantic/Jan_Mayen,Atlantic/Madeira,Atlantic/Reykjavik,Atlantic/South_Georgia,Atlantic/St_Helena,Atlantic/Stanley,Australia/ACT,Australia/Adelaide,Australia/Brisbane,Australia/Broken_Hill,Australia/Canberra,Australia/Currie,Australia/Darwin,Australia/Eucla,Australia/Hobart,Australia/LHI,Australia/Lindeman,Australia/Lord_Howe,Australia/Melbourne,Australia/NSW,Australia/North,Australia/Perth,Australia/Queensland,Australia/South,Australia/Sydney,Australia/Tasmania,Australia/Victoria,Australia/West,Australia/Yancowinna,Brazil/Acre,Brazil/DeNoronha,Brazil/East,Brazil/West,CET,CST6CDT,Canada/Atlantic,Canada/Central,Canada/Eastern,Canada/Mountain,Canada/Newfoundland,Canada/Pacific,Canada/Saskatchewan,Canada/Yukon,Chile/Continental,Chile/EasterIsland,Cuba,EET,EST,EST5EDT,Egypt,Eire,Etc/GMT,Etc/GMT+0,Etc/GMT+1,Etc/GMT+10,Etc/GMT+11,Etc/GMT+12,Etc/GMT+2,Etc/GMT+3,Etc/GMT+4,Etc/GMT+5,Etc/GMT+6,Etc/GMT+7,Etc/GMT+8,Etc/GMT+9,Etc/GMT-0,Etc/GMT-1,Etc/GMT-10,Etc/GMT-11,Etc/GMT-12,Etc/GMT-13,Etc/GMT-14,Etc/GMT-2,Etc/GMT-3,Etc/GMT-4,Etc/GMT-5,Etc/GMT-6,Etc/GMT-7,Etc/GMT-8,Etc/GMT-9,Etc/GMT0,Etc/Greenwich,Etc/UCT,Etc/UTC,Etc/Universal,Etc/Zulu,Europe/Amsterdam,Europe/Andorra,Europe/Astrakhan,Europe/Athens,Europe/Belfast,Europe/Belgrade,Europe/Berlin,Europe/Bratislava,Europe/Brussels,Europe/Bucharest,Europe/Budapest,Europe/Busingen,Europe/Chisinau,Europe/Copenhagen,Europe/Dublin,Europe/Gibraltar,Europe/Guernsey,Europe/Helsinki,Europe/Isle_of_Man,Europe/Istanbul,Europe/Jersey,Europe/Kaliningrad,Europe/Kiev,Europe/Kirov,Europe/Lisbon,Europe/Ljubljana,Europe/London,Europe/Luxembourg,Europe/Madrid,Europe/Malta,Europe/Mariehamn,Europe/Minsk,Europe/Monaco,Europe/Moscow,Europe/Nicosia,Europe/Oslo,Europe/Paris,Europe/Podgorica,Europe/Prague,Europe/Riga,Europe/Rome,Europe/Samara,Europe/San_Marino,Europe/Sarajevo,Europe/Saratov,Europe/Simferopol,Europe/Skopje,Europe/Sofia,Europe/Stockholm,Europe/Tallinn,Europe/Tirane,Europe/Tiraspol,Europe/Ulyanovsk,Europe/Uzhgorod,Europe/Vaduz,Europe/Vatican,Europe/Vienna,Europe/Vilnius,Europe/Volgograd,Europe/Warsaw,Europe/Zagreb,Europe/Zaporozhye,Europe/Zurich,GB,GB-Eire,GMT,GMT+0,GMT-0,GMT0,Greenwich,HST,Hongkong,Iceland,Indian/Antananarivo,Indian/Chagos,Indian/Christmas,Indian/Cocos,Indian/Comoro,Indian/Kerguelen,Indian/Mahe,Indian/Maldives,Indian/Mauritius,Indian/Mayotte,Indian/Reunion,Iran,Israel,Jamaica,Japan,Kwajalein,Libya,MET,MST,MST7MDT,Mexico/BajaNorte,Mexico/BajaSur,Mexico/General,NZ,NZ-CHAT,Navajo,PRC,PST8PDT,Pacific/Apia,Pacific/Auckland,Pacific/Bougainville,Pacific/Chatham,Pacific/Chuuk,Pacific/Easter,Pacific/Efate,Pacific/Enderbury,Pacific/Fakaofo,Pacific/Fiji,Pacific/Funafuti,Pacific/Galapagos,Pacific/Gambier,Pacific/Guadalcanal,Pacific/Guam,Pacific/Honolulu,Pacific/Johnston,Pacific/Kiritimati,Pacific/Kosrae,Pacific/Kwajalein,Pacific/Majuro,Pacific/Marquesas,Pacific/Midway,Pacific/Nauru,Pacific/Niue,Pacific/Norfolk,Pacific/Noumea,Pacific/Pago_Pago,Pacific/Palau,Pacific/Pitcairn,Pacific/Pohnpei,Pacific/Ponape,Pacific/Port_Moresby,Pacific/Rarotonga,Pacific/Saipan,Pacific/Samoa,Pacific/Tahiti,Pacific/Tarawa,Pacific/Tongatapu,Pacific/Truk,Pacific/Wake,Pacific/Wallis,Pacific/Yap,Poland,Portugal,ROC,ROK,Singapore,Turkey,UCT,US/Alaska,US/Aleutian,US/Arizona,US/Central,US/East-Indiana,US/Eastern,US/Hawaii,US/Indiana-Starke,US/Michigan,US/Mountain,US/Pacific,US/Samoa,UTC,Universal,W-SU,WET,Zulu,posixrules",string,No,,,,,,,,,
Yes,Yes,Yes,,,,system_versioning_alter_history,ERROR,ERROR,ERROR,,,General,"ERROR, KEEP",enum,No,,,,,,https://r.mariadb.com/skysql-system-variables/system_versioning_alter_history/,,,
Yes,Yes,Yes,,,,thread_cache_size,256,256,151,,,General,"0,128,256,512,1024,2048,4096",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/thread_cache_size/,,,
Yes,Yes,Yes,,,,thread_handling,one-thread-per-connection,one-thread-per-connection,one-thread-per-connection,,,General,"one-thread-per-connection, pool-of-threads",enumerated,Yes,,,,,,https://r.mariadb.com/skysql-system-variables/thread_handling/,,,
Yes,Yes,Yes,,,,thread_pool_idle_timeout,60,60,60,,,General,"1,60,300,600,3600,86400,604800,31536000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/thread_pool_idle_timeout/,,,
Yes,Yes,Yes,,,,thread_pool_max_threads,65536,65536,65536,,,General,"1,128,256,512,1024,2048,4096,65536",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/thread_pool_max_threads/,,,
Yes,Yes,Yes,,,,thread_pool_priority,auto,auto,auto,,,General,"high, low, auto",enumerated,No,,,,,,https://r.mariadb.com/skysql-system-variables/thread_pool_priority/,,,
Yes,Yes,Yes,,,,thread_pool_size,2,2,4,,,General,"0,2,4,16,32,64,128,256,512,1024,2048",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/thread_pool_size/,,No,
Yes,Yes,Yes,,,,transaction_isolation,REPEATABLE-READ,REPEATABLE-READ,REPEATABLE-READ,,,General,"READ-UNCOMMITTED,READ-COMMITTED,REPEATABLE-READ,SERIALIZABLE",string,No,,,,,,https://r.mariadb.com/skysql-system-variables/tx_isolation,,,
,Yes,,,Yes,,transaction_replay,,true,,,,Routers,"true, false",boolean,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/transaction_replay/,,,ReadWriteSplit
,Yes,,,Yes,,transaction_replay_attempts,,10,,,,Routers,"1, 5, 10",integer,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/transaction_replay_attempts/,,,ReadWriteSplit
,Yes,,,Yes,,transaction_replay_max_size,,10Mi,,,,Routers,"1Mi, 16Mi, 32Mi, 64Mi",integer,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/transaction_replay_max_size/,,,ReadWriteSplit
,Yes,,,Yes,,transaction_replay_retry_on_deadlock,,true,,,,Routers,"true, false",boolean,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/transaction_replay_retry_on_deadlock/,,,ReadWriteSplit
,Yes,,,Yes,,use_sql_variables_in,,all,,,,Routers,"master,all",enum,Yes,Yes,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/use_sql_variables_in/,,,ReadWriteSplit
Yes,Yes,Yes,Yes,,Yes,wait_timeout,600,600,28800,28800,28800,General,,integer,No,,,,1,31536000,https://r.mariadb.com/skysql-system-variables/wait_timeout/,,,
Yes,Yes,,,,,read_buffer_size,131072,131072,,,,"General, Memory",,numeric,No,,,,8200,2147479552,https://r.mariadb.com/skysql-system-variables/read_buffer_size/,,,
Yes,Yes,,,,,read_rnd_buffer_size,262144,262144,,,,"General, Memory",,numeric,No,,,,8200,2147483647,https://r.mariadb.com/skysql-system-variables/read_rnd_buffer_size/,,,
Yes,Yes,,,,,join_buffer_size,262144,262144,,,,"General, Memory",,numeric,No,,,,8228,18446744073709547520,https://r.mariadb.com/skysql-system-variables/join_buffer_size/,,,
Yes,Yes,,,,,binlog_cache_size,32768,32768,,,,"General, Memory",,numeric,No,,,,4096,18446744073709547520,https://r.mariadb.com/skysql-system-variables/binlog_cache_size/,,,
Yes,Yes,,,,,thread_stack,299008,299008,,,,General,,numeric,Yes,,,,131072,18446744073709551615,https://r.mariadb.com/skysql-system-variables/thread_stack/,,,
Yes,Yes,,,,,innodb_autoinc_lock_mode,2,2,,,,"InnoDB, Data Integrity","0,1,2",enum,Yes,,,,,,https://r.mariadb.com/skysql-system-variables/innodb_autoinc_lock_mode/,,,
Yes,,,,,,binlog_format,ROW,,,,,"Logs, Data Integrity","MIXED, STATEMENT, ROW",enum,No,,,,,,https://r.mariadb.com/skysql-system-variables/binlog_format/,,,